x1 x2 x3 x4
2.063353906844448638e+00 1.234258349676699895e+00 1.109558616486425953e+00 1.239120862280942870e+00
2.071066941720907995e+00 1.246876156049230522e+00 1.118627810657396804e+00 1.242720826860982175e+00
2.078781297196713673e+00 1.259478102105116903e+00 1.127694314388113517e+00 1.246338021598573542e+00
2.086497001541517182e+00 1.272064230008551844e+00 1.136758129921526139e+00 1.249972373816922389e+00
2.094214082575084568e+00 1.284634582767095079e+00 1.145819259669879742e+00 1.253623810276458528e+00
2.101932567671025875e+00 1.297189204209853397e+00 1.154877706211468125e+00 1.257292257196170882e+00
2.109652483760560582e+00 1.309728138965920330e+00 1.163933472287423720e+00 1.260977640274613343e+00
2.117373857336313225e+00 1.322251432443078745e+00 1.172986560798543243e+00 1.264679884710582680e+00
2.125096714456137015e+00 1.334759130806765892e+00 1.182036974802148199e+00 1.268398915223466483e+00
2.132821080746964526e+00 1.347251280959306907e+00 1.191084717508982926e+00 1.272134656073263148e+00
2.140546981408682825e+00 1.359727930519413430e+00 1.200129792280147933e+00 1.275887031080273459e+00
2.148274441218030795e+00 1.372189127801952679e+00 1.209172202624069881e+00 1.279655963644464434e+00
2.156003484532517334e+00 1.384634921797986529e+00 1.218211952193507752e+00 1.283441376764506314e+00
2.163734135294358207e+00 1.397065362155081258e+00 1.227249044782595666e+00 1.287243193056482715e+00
2.171466417034429774e+00 1.409480499157889755e+00 1.236283484323921877e+00 1.291061334772276581e+00
2.179200352876236035e+00 1.421880383709005713e+00 1.245315274885643975e+00 1.294895723817631961e+00
2.186935965539891669e+00 1.434265067310091624e+00 1.254344420668641380e+00 1.298746281769893152e+00
2.194673277346113061e+00 1.446634602043279205e+00 1.263370926003703154e+00 1.302612929895422544e+00
2.202412310220221769e+00 1.458989040552843841e+00 1.272394795348752883e+00 1.306495589166699611e+00
2.210153085696154651e+00 1.471328436027151465e+00 1.281416033286109757e+00 1.310394180279102150e+00
2.217895624920480646e+00 1.483652842180879894e+00 1.290434644519785623e+00 1.314308623667371778e+00
2.225639948656423339e+00 1.495962313237511054e+00 1.299450633872818006e+00 1.318238839521765460e+00
2.233386077287885296e+00 1.508256903912096769e+00 1.308464006284640213e+00 1.322184747803895499e+00
2.241134030823475509e+00 1.520536669394295881e+00 1.317474766808485631e+00 1.326146268262260897e+00
2.248883828900536841e+00 1.532801665331681384e+00 1.326482920608829108e+00 1.330123320447470725e+00
2.256635490789173470e+00 1.545051947813317783e+00 1.335488472958863859e+00 1.334115823727163086e+00
2.264389035396274785e+00 1.557287573353607790e+00 1.344491429238013014e+00 1.338123697300622750e+00
2.272144481269537053e+00 1.569508598876405703e+00 1.353491794929477576e+00 1.342146860213097925e+00
2.279901846601480209e+00 1.581715081699397674e+00 1.362489575617818582e+00 1.346185231369821711e+00
2.287661149233457980e+00 1.593907079518747105e+00 1.371484776986574339e+00 1.350238729549738670e+00
2.295422406659661352e+00 1.606084650394003832e+00 1.380477404815912967e+00 1.354307273418940083e+00
2.303185636031114036e+00 1.618247852733274428e+00 1.389467464980318923e+00 1.358390781543810988e+00
