x1 x2 x3
3.050769438412188617e+00 2.582303326495278384e+00 2.104021419184451513e+00
3.059506400640207957e+00 2.594294590127193434e+00 2.113293193324517372e+00
3.068246581563332853e+00 2.606280535061645587e+00 2.122567067466940571e+00
3.076989977867447656e+00 2.618261174179403294e+00 2.131843032045068309e+00
3.085736586179996355e+00 2.630236520384301890e+00 2.141121077527620820e+00
3.094486403070725533e+00 2.642206586602436236e+00 2.150401194418757544e+00
3.103239425052424671e+00 2.654171385781358250e+00 2.159683373258136641e+00
3.111995648581659335e+00 2.666130930889287320e+00 2.168967604620972711e+00
3.120755070059503034e+00 2.678085234914325596e+00 2.178253879118090541e+00
3.129517685832260199e+00 2.690034310863683498e+00 2.187542187395975279e+00
3.138283492192188717e+00 2.701978171762912773e+00 2.196832520136817735e+00
3.147052485378214026e+00 2.713916830655146661e+00 2.206124868058558341e+00
3.155824661576641432e+00 2.725850300600351162e+00 2.215419221914926684e+00
3.164600016921861325e+00 2.737778594674581178e+00 2.224715572495476579e+00
3.173378547497052171e+00 2.749701725969246890e+00 2.234013910625619825e+00
3.182160249334875957e+00 2.761619707590387218e+00 2.243314227166655517e+00
3.190945118418170967e+00 2.773532552657951733e+00 2.252616513015796240e+00
3.199733150680638794e+00 2.785440274305089225e+00 2.261920759106191170e+00
3.208524342007526009e+00 2.797342885677446933e+00 2.271226956406946051e+00
3.217318688236303625e+00 2.809240399932475096e+00 2.280535095923140521e+00
3.226116185157338112e+00 2.821132830238739952e+00 2.289845168695840982e+00
3.234916828514560194e+00 2.833020189775245612e+00 2.299157165802113045e+00
3.243720614006128322e+00 2.844902491730762595e+00 2.308471078355028183e+00
3.252527537285086812e+00 2.856779749303163474e+00 2.317786897503669064e+00
3.261337593960019543e+00 2.868651975698767842e+00 2.327104614433132213e+00
3.270150779595698332e+00 2.880519184131694388e+00 2.336424220364527127e+00
3.278967089713726857e+00 2.892381387823219629e+00 2.345745706554973165e+00
3.287786519793181039e+00 2.904238600001145088e+00 2.355069064297593773e+00
3.296609065271241867e+00 2.916090833899171120e+00 2.364394284921507161e+00
3.305434721543825560e+00 2.927938102756279193e+00 2.373721359791815200e+00
3.314263483966207957e+00 2.939780419816121260e+00 2.383050280309590541e+00
3.323095347853645354e+00 2.951617798326415354e+00 2.392381037911859298e+00
3.331930308481987790e+00 2.963450251538350066e+00 2.401713624071581954e+00
3.340768361088291449e+00 2.975277792705995683e+00 2.411048030297632927e+00
3.349609500871422174e+00 2.987100435085721539e+00 2.420384248134776595e+00
3.358453722992657653e+00 2.998918191935621813e+00 2.429722269163640647e+00
3.367301022576282499e+00 3.010731076514947979e+00 2.439062085000689439e+00
3.376151394710179776e+00 3.022539102083549256e+00 2.448403687298191134e+00
3.385004834446417199e+00 3.034342281901317051e+00 2.457747067744186165e+00
3.393861336801827999e+00 3.046140629227639618e+00 2.467092218062452602e+00
3.402720896758589575e+00 3.057934157320862933e+00 2.476439130012467515e+00
3.411583509264793701e+00 3.069722879437757346e+00 2.485787795389369226e+00
3.420449169235014519e+00 3.081506808832990885e+00 2.495138206023914673e+00
3.429317871550872088e+00 3.093285958758611010e+00 2.504490353782437229e+00
3.438189611061589268e+00 3.105060342463531686e+00 2.513844230566799620e+00
